upid,GLC_BATCH_mu=0.58_S,LB_BATCH_mu=1.9_S,GLYC+AA_BATCH_mu=1.27_S,ACE_BATCH_mu=0.3_S,FUM_BATCH_mu=0.42_S,GAM_BATCH_mu=0.46_S,GLYC_BATCH_mu=0.47_S,PYR_BATCH_mu=0.40_S,GLC_CHEM_mu=0.50_S,GLC_CHEM_mu=0.35_S,GLC_CHEM_mu=0.20_S,GLC_CHEM_mu=0.12_S,GLC_STATIONARY1d_mu=-0.01_S,GLC_STATIONARY3d_mu=-0.01_S,GLC+SALTS_BATCH_mu=0.55_S,GLC@42deg_BATCH_mu=0.66_S,GLC@pH6_BATCH_mu=0.63_S,XYL_BATCH_mu=0.55_S,MAN_BATCH_mu=0.47_S,GAL_BATCH_mu=0.26_S,SUCC_BATCH_mu=0.44_S,FRU_BATCH_mu=0.65_S
P21369,35.67,20.84,11.15,34.50,25.19,13.92,23.63,65.55,14.26,18.08,45.54,13.81,46.02,41.85,70.05,79.54,2.18,20.12,23.41,35.16,60.68,57.27
P76078,47.00,166.23,1.15,0.53,1.80,0.41,150.22,83.11,0.14,114.37,143.59,143.65,78.53,120.03,0.21,120.53,86.92,165.04,0.89,143.56,0.75,81.04
P37610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P69681,118.76,6.99,37.26,85.69,47.62,138.53,16.40,77.04,62.63,34.97,87.77,17.42,38.15,163.16,130.67,41.61,17.85,74.74,113.29,54.56,4.92,86.63
P62672,42.12,15.65,21.72,3.59,23.07,17.10,16.43,19.84,30.98,23.18,1.02,7.74,19.58,14.41,8.58,14.44,5.73,23.78,6.37,10.06,30.17,33.22
P31801,19.69,10.06,6.23,0.87,15.86,8.65,7.02,31.10,10.55,21.11,19.49,6.61,18.60,7.77,86.87,13.93,21.74,17.63,23.61,15.60,22.99,12.92
P0AEL3,106.36,19.11,77.57,155.02,82.90,165.77,142.99,161.03,154.57,164.96,137.94,1.25,157.33,0.47,47.09,104.04,74.62,68.08,118.13,107.26,89.75,150.10
P0A6V5,27.84,41.98,22.61,9.52,24.46,52.98,13.58,28.04,17.99,57.90,11.71,42.59,152.16,20.66,72.31,88.24,111.78,43.53,32.54,49.29,84.09,16.42
P0AFA7,170.47,0.67,86.81,155.56,124.14,126.32,154.58,90.09,64.72,93.53,17.57,47.30,17.39,70.53,4.36,41.98,23.12,64.91,153.03,74.81,48.05,115.45
P0AB96,94.60,128.80,167.48,61.01,83.75,147.40,23.91,74.20,99.22,54.78,63.40,52.21,95.40,108.10,100.61,172.47,72.99,74.42,48.14,73.10,71.59,16.50
